key,category,exerciseName,language_en,name_en,language_fr,name_fr
BANDED_EXERCISES_SQUAT_TO_PRESS,BANDED_EXERCISES,SQUAT_TO_PRESS,en,Banded Squat to Press,fr,Squat et presse avec élastique
BANDED_EXERCISES_STRAIGHT_ARM_PULL_DOWN_WHEELCHAIR,BANDED_EXERCISES,STRAIGHT_ARM_PULL_DOWN_WHEELCHAIR,en,Banded Straight-arm Pull-down,fr,Tirage bras tendus avec élastique
BANDED_EXERCISES_TRICEPS_EXTENSION_WHEELCHAIR,BANDED_EXERCISES,TRICEPS_EXTENSION_WHEELCHAIR,en,Banded Triceps Extension,fr,Extension des triceps avec élastique
BANDED_EXERCISES_TRICEP_EXTENSION,BANDED_EXERCISES,TRICEP_EXTENSION,en,Banded Tricep Extension,fr,Extension du triceps avec élastique
BANDED_EXERCISES_TRICEP_KICKBACK,BANDED_EXERCISES,TRICEP_KICKBACK,en,Banded Tricep Kick-back,fr,Triceps Kick-back avec élastique
BANDED_EXERCISES_UPRIGHT_ROW,BANDED_EXERCISES,UPRIGHT_ROW,en,Banded Upright Row,fr,Rowing vertical avec élastique
BANDED_EXERCISES_WALL_CRAWL_WITH_EXTERNAL_ROTATION,BANDED_EXERCISES,WALL_CRAWL_WITH_EXTERNAL_ROTATION,en,Banded Wall Crawl with External Rotation,fr,Crawl mural avec rotation externe avec élastique
BATTLE_ROPE_ALTERNATING_FIGURE_EIGHT,BATTLE_ROPE,ALTERNATING_FIGURE_EIGHT,en,Battle Rope Alternating Figure Eight,fr,Corde de combat - Figure huit en alternance
BATTLE_ROPE_ALTERNATING_JUMP_WAVE,BATTLE_ROPE,ALTERNATING_JUMP_WAVE,en,Battle Rope Alternating Jump Wave,fr,Corde de combat - Vague et saut en alternance
BATTLE_ROPE_ALTERNATING_KNEELING_TO_STANDING_WAVE,BATTLE_ROPE,ALTERNATING_KNEELING_TO_STANDING_WAVE,en,Battle Rope Alternating Kneeling to Standing Wave,fr,Corde de combat - Vague à genoux et debout en alternance
BATTLE_ROPE_ALTERNATING_LUNGE_WAVE,BATTLE_ROPE,ALTERNATING_LUNGE_WAVE,en,Battle Rope Alternating Lunge Wave,fr,Corde de combat - Vague et fente en alternance
BATTLE_ROPE_ALTERNATING_SQUAT_WAVE,BATTLE_ROPE,ALTERNATING_SQUAT_WAVE,en,Battle Rope Alternating Squat Wave,fr,Corde de combat - Vague et squat en alternance
BATTLE_ROPE_ALTERNATING_WAVE,BATTLE_ROPE,ALTERNATING_WAVE,en,Battle Rope Alternating Wave,fr,Corde de combat - Vague en alternance
BATTLE_ROPE_ALTERNATING_WAVE_WITH_LATERAL_SHUFFLE,BATTLE_ROPE,ALTERNATING_WAVE_WITH_LATERAL_SHUFFLE,en,Battle Rope Alternating Wave with Lateral Shuffle,fr,Corde de combat - Vague et Shuffle latéral en alternance
BATTLE_ROPE_BATTLE_ROPE,BATTLE_ROPE,BATTLE_ROPE,en,Battle Rope,fr,Corde de combat
BATTLE_ROPE_CLAP_WAVE,BATTLE_ROPE,CLAP_WAVE,en,Battle Rope Clap Wave,fr,Corde de combat - Vague clapée
BATTLE_ROPE_DOUBLE_ARM_FIGURE_EIGHT,BATTLE_ROPE,DOUBLE_ARM_FIGURE_EIGHT,en,Battle Rope Double-arm Figure Eight,fr,Corde de combat - Figure huit à deux bras
BATTLE_ROPE_DOUBLE_ARM_SIDE_TO_SIDE_SNAKE,BATTLE_ROPE,DOUBLE_ARM_SIDE_TO_SIDE_SNAKE,en,Battle Rope Double Arm Side-to-Side Snake,fr,Corde de combat - Serpent de côté à côté à deux bras
BATTLE_ROPE_DOUBLE_ARM_SIDE_WAVE,BATTLE_ROPE,DOUBLE_ARM_SIDE_WAVE,en,Battle Rope Double-arm Side Wave,fr,Corde de combat - Vague côté à deux bras
BATTLE_ROPE_DOUBLE_ARM_SLAM,BATTLE_ROPE,DOUBLE_ARM_SLAM,en,Battle Rope Double-arm Slam,fr,Corde de combat - Claquement à deux bras
BATTLE_ROPE_DOUBLE_ARM_WAVE,BATTLE_ROPE,DOUBLE_ARM_WAVE,en,Battle Rope Double-arm Wave,fr,Corde de combat - Vague à deux bras
BATTLE_ROPE_GRAPPLER_TOSS,BATTLE_ROPE,GRAPPLER_TOSS,en,Battle Rope Grappler Toss,fr,Corde de combat - Grappler Toss
BATTLE_ROPE_HIP_TOSS,BATTLE_ROPE,HIP_TOSS,en,Battle Rope Hip Toss,fr,Corde de combat - Hip Toss
