key,category,exerciseName,name_en,name_fr
BANDED_EXERCISES_TRICEPS_EXTENSION_WHEELCHAIR,BANDED_EXERCISES,TRICEPS_EXTENSION_WHEELCHAIR,Banded Triceps Extension,Extension des triceps avec élastique
BANDED_EXERCISES_TRICEP_EXTENSION,BANDED_EXERCISES,TRICEP_EXTENSION,Banded Tricep Extension,Extension du triceps avec élastique
BANDED_EXERCISES_TRICEP_KICKBACK,BANDED_EXERCISES,TRICEP_KICKBACK,Banded Tricep Kick-back,Triceps Kick-back avec élastique
BANDED_EXERCISES_UPRIGHT_ROW,BANDED_EXERCISES,UPRIGHT_ROW,Banded Upright Row,Rowing vertical avec élastique
BANDED_EXERCISES_WALL_CRAWL_WITH_EXTERNAL_ROTATION,BANDED_EXERCISES,WALL_CRAWL_WITH_EXTERNAL_ROTATION,Banded Wall Crawl with External Rotation,Crawl mural avec rotation externe avec élastique
BATTLE_ROPE_ALTERNATING_FIGURE_EIGHT,BATTLE_ROPE,ALTERNATING_FIGURE_EIGHT,Battle Rope Alternating Figure Eight,Corde de combat - Figure huit en alternance
BATTLE_ROPE_ALTERNATING_JUMP_WAVE,BATTLE_ROPE,ALTERNATING_JUMP_WAVE,Battle Rope Alternating Jump Wave,Corde de combat - Vague et saut en alternance
BATTLE_ROPE_ALTERNATING_KNEELING_TO_STANDING_WAVE,BATTLE_ROPE,ALTERNATING_KNEELING_TO_STANDING_WAVE,Battle Rope Alternating Kneeling to Standing Wave,Corde de combat - Vague à genoux et debout en alternance
BATTLE_ROPE_ALTERNATING_LUNGE_WAVE,BATTLE_ROPE,ALTERNATING_LUNGE_WAVE,Battle Rope Alternating Lunge Wave,Corde de combat - Vague et fente en alternance
BATTLE_ROPE_ALTERNATING_SQUAT_WAVE,BATTLE_ROPE,ALTERNATING_SQUAT_WAVE,Battle Rope Alternating Squat Wave,Corde de combat - Vague et squat en alternance
BATTLE_ROPE_ALTERNATING_WAVE,BATTLE_ROPE,ALTERNATING_WAVE,Battle Rope Alternating Wave,Corde de combat - Vague en alternance
BATTLE_ROPE_ALTERNATING_WAVE_WITH_LATERAL_SHUFFLE,BATTLE_ROPE,ALTERNATING_WAVE_WITH_LATERAL_SHUFFLE,Battle Rope Alternating Wave with Lateral Shuffle,Corde de combat - Vague et Shuffle latéral en alternance
BATTLE_ROPE_BATTLE_ROPE,BATTLE_ROPE,BATTLE_ROPE,Battle Rope,Corde de combat
BATTLE_ROPE_CLAP_WAVE,BATTLE_ROPE,CLAP_WAVE,Battle Rope Clap Wave,Corde de combat - Vague clapée
BATTLE_ROPE_DOUBLE_ARM_FIGURE_EIGHT,BATTLE_ROPE,DOUBLE_ARM_FIGURE_EIGHT,Battle Rope Double-arm Figure Eight,Corde de combat - Figure huit à deux bras
BATTLE_ROPE_DOUBLE_ARM_SIDE_TO_SIDE_SNAKE,BATTLE_ROPE,DOUBLE_ARM_SIDE_TO_SIDE_SNAKE,Battle Rope Double Arm Side-to-Side Snake,Corde de combat - Serpent de côté à côté à deux bras
BATTLE_ROPE_DOUBLE_ARM_SIDE_WAVE,BATTLE_ROPE,DOUBLE_ARM_SIDE_WAVE,Battle Rope Double-arm Side Wave,Corde de combat - Vague côté à deux bras
BATTLE_ROPE_DOUBLE_ARM_SLAM,BATTLE_ROPE,DOUBLE_ARM_SLAM,Battle Rope Double-arm Slam,Corde de combat - Claquement à deux bras
BATTLE_ROPE_DOUBLE_ARM_WAVE,BATTLE_ROPE,DOUBLE_ARM_WAVE,Battle Rope Double-arm Wave,Corde de combat - Vague à deux bras
BATTLE_ROPE_GRAPPLER_TOSS,BATTLE_ROPE,GRAPPLER_TOSS,Battle Rope Grappler Toss,Corde de combat - Grappler Toss
BATTLE_ROPE_HIP_TOSS,BATTLE_ROPE,HIP_TOSS,Battle Rope Hip Toss,Corde de combat - Hip Toss
BATTLE_ROPE_INSIDE_CIRCLE,BATTLE_ROPE,INSIDE_CIRCLE,Battle Rope Inside Circle,Corde de combat - Cercle intérieur
BATTLE_ROPE_IN_AND_OUT_WAVE,BATTLE_ROPE,IN_AND_OUT_WAVE,Battle Rope In and Out Wave,Corde de combat - Vague intérieur/extérieur
BATTLE_ROPE_JUMPING_JACKS,BATTLE_ROPE,JUMPING_JACKS,Battle Rope Jumping Jacks,Corde de combat - Jumping Jacks
BATTLE_ROPE_OUTSIDE_CIRCLE,BATTLE_ROPE,OUTSIDE_CIRCLE,Battle Rope Outside Circle,Corde de combat - Cercle extérieur
BATTLE_ROPE_RAINBOW,BATTLE_ROPE,RAINBOW,Battle Rope Rainbow,Corde de combat - Rainbow
BATTLE_ROPE_SIDEWINDER,BATTLE_ROPE,SIDEWINDER,Battle Rope Sidewinder,Corde de combat - Sidewinder
BATTLE_ROPE_SIDE_PLANK_WAVE,BATTLE_ROPE,SIDE_PLANK_WAVE,Battle Rope Side Plank Wave,Corde de combat - Vague en planche latérale
BATTLE_ROPE_SITTING_RUSSIAN_TWIST,BATTLE_ROPE,SITTING_RUSSIAN_TWIST,Battle Rope Sitting Russian Twist,Corde de combat - Torsion oblique assis
BATTLE_ROPE_SNAKE_WAVE,BATTLE_ROPE,SNAKE_WAVE,Battle Rope Snake Wave,Corde de combat - Vague serpent
BATTLE_ROPE_SPLIT_JACK,BATTLE_ROPE,SPLIT_JACK,Battle Rope Split Jack,Corde de combat - Jack fendu
BATTLE_ROPE_STAGE_COACH,BATTLE_ROPE,STAGE_COACH,Battle Rope Stage Coach,Corde de combat - Stage Coach
BATTLE_ROPE_ULTIMATE_WARRIOR,BATTLE_ROPE,ULTIMATE_WARRIOR,Battle Rope Ultimate Warrior,Corde de combat - Ultimate Warrior
BATTLE_ROPE_UPPER_CUTS,BATTLE_ROPE,UPPER_CUTS,Battle Rope Upper Cuts,Corde de combat - Uppercuts
BENCH_PRESS_ALTERNATING_DUMBBELL_CHEST_PRESS,BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS,Alternating Dumbbell Chest Press,Développé alterné du torse avec haltères
BENCH_PRESS_ALTERNATING_DUMBBELL_CHEST_PRESS_ON_SWISS_BALL,BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS_ON_SWISS_BALL,Alternating Dumbbell Chest Press on Swiss Ball,Développés couché alternés avec haltères sur ballon d'exercice
BENCH_PRESS_BARBELL_BENCH_PRESS,BENCH_PRESS,BARBELL_BENCH_PRESS,Barbell Bench Press,Développé couché avec barre
BENCH_PRESS_BARBELL_BOARD_BENCH_PRESS,BENCH_PRESS,BARBELL_BOARD_BENCH_PRESS,Barbell Board Bench Press,Développé couché avec planche
BENCH_PRESS_BARBELL_FLOOR_PRESS,BENCH_PRESS,BARBELL_FLOOR_PRESS,Barbell Floor Press,Développé couché au sol avec barre d'altères
BENCH_PRESS_BENCH_PRESS,BENCH_PRESS,BENCH_PRESS,Bench Press,Développé couché
BENCH_PRESS_CLOSE_GRIP_BARBELL_BENCH_PRESS,BENCH_PRESS,CLOSE_GRIP_BARBELL_BENCH_PRESS,Close-grip Barbell Bench Press,Développé couché prise serrée
BENCH_PRESS_DECLINE_DUMBBELL_BENCH_PRESS,BENCH_PRESS,DECLINE_DUMBBELL_BENCH_PRESS,Decline Dumbbell Bench Press,Développé couché décliné
BENCH_PRESS_DUMBBELL_BENCH_PRESS,BENCH_PRESS,DUMBBELL_BENCH_PRESS,Dumbbell Bench Press,Développé couché avec haltères
BENCH_PRESS_DUMBBELL_FLOOR_PRESS,BENCH_PRESS,DUMBBELL_FLOOR_PRESS,Dumbbell Floor Press,Développé couché au sol
BENCH_PRESS_INCLINE_BARBELL_BENCH_PRESS,BENCH_PRESS,INCLINE_BARBELL_BENCH_PRESS,Incline Barbell Bench Press,Développé couché incliné
BENCH_PRESS_INCLINE_DUMBBELL_BENCH_PRESS,BENCH_PRESS,INCLINE_DUMBBELL_BENCH_PRESS,Incline Dumbbell Bench Press,Développé couché incliné avec haltères
BENCH_PRESS_INCLINE_SMITH_MACHINE_BENCH_PRESS,BENCH_PRESS,INCLINE_SMITH_MACHINE_BENCH_PRESS,Incline Smith Machine Bench Press,Développé couché incliné de la machine Smith
BENCH_PRESS_ISOMETRIC_BARBELL_BENCH_PRESS,BENCH_PRESS,ISOMETRIC_BARBELL_BENCH_PRESS,Isometric Barbell Bench Press,Développé couché avec banc isométrique
BENCH_PRESS_KETTLEBELL_CHEST_PRESS,BENCH_PRESS,KETTLEBELL_CHEST_PRESS,Kettlebell Chest Press,Développé pectoraux kettlebell
BENCH_PRESS_NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,BENCH_PRESS,NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,Neutral-grip Dumbbell Bench Press,Développé couché avec haltères en prise neutre
BENCH_PRESS_NEUTRAL_GRIP_DUMBBELL_INCLINE_BENCH_PRESS,BENCH_PRESS,NEUTRAL_GRIP_DUMBBELL_INCLINE_BENCH_PRESS,Neutral-grip Dumbbell Incline Bench Press,"Développé couché incliné avec haltères, prise neutre"
BENCH_PRESS_ONE_ARM_FLOOR_PRESS,BENCH_PRESS,ONE_ARM_FLOOR_PRESS,One-arm Floor Press,Développé couché au sol à un bras
BENCH_PRESS_PARTIAL_LOCKOUT,BENCH_PRESS,PARTIAL_LOCKOUT,Partial Lockout,Verrouillage partiel
BENCH_PRESS_REVERSE_GRIP_BARBELL_BENCH_PRESS,BENCH_PRESS,REVERSE_GRIP_BARBELL_BENCH_PRESS,Reverse-grip Barbell Bench Press,Développé couché en supination
BENCH_PRESS_REVERSE_GRIP_INCLINE_BENCH_PRESS,BENCH_PRESS,REVERSE_GRIP_INCLINE_BENCH_PRESS,Reverse-grip Incline Bench Press,Développé couché incliné en supination
BENCH_PRESS_SINGLE_ARM_CABLE_CHEST_PRESS,BENCH_PRESS,SINGLE_ARM_CABLE_CHEST_PRESS,Single-arm Cable Chest Press,Développé pectoraux à un bras sur poulie
BENCH_PRESS_SINGLE_ARM_DUMBBELL_BENCH_PRESS,BENCH_PRESS,SINGLE_ARM_DUMBBELL_BENCH_PRESS,Single-arm Dumbbell Bench Press,Développé couché avec haltères à un bras
BENCH_PRESS_SMITH_MACHINE_BENCH_PRESS,BENCH_PRESS,SMITH_MACHINE_BENCH_PRESS,Smith Machine Bench Press,Développé couché sur Machine Smith
BENCH_PRESS_SWISS_BALL_DUMBBELL_CHEST_PRESS,BENCH_PRESS,SWISS_BALL_DUMBBELL_CHEST_PRESS,Swiss Ball Dumbbell Chest Press,Développés couché avec haltères sur ballon d'exercices
BENCH_PRESS_TRIPLE_STOP_BARBELL_BENCH_PRESS,BENCH_PRESS,TRIPLE_STOP_BARBELL_BENCH_PRESS,Triple-stop Barbell Bench Press,Développé couché arrêté
BENCH_PRESS_WEIGHTED_ONE_ARM_FLOOR_PRESS,BENCH_PRESS,WEIGHTED_ONE_ARM_FLOOR_PRESS,Weighted One-arm Floor Press,Développé-couché unilatéral au sol
BENCH_PRESS_WIDE_GRIP_BARBELL_BENCH_PRESS,BENCH_PRESS,WIDE_GRIP_BARBELL_BENCH_PRESS,Wide-grip Barbell Bench Press,Développé couché prise large
CALF_RAISE_CALF_RAISE,CALF_RAISE,CALF_RAISE,Calf Raise,Extension des mollets
CALF_RAISE_DONKEY_CALF_RAISE,CALF_RAISE,DONKEY_CALF_RAISE,Donkey Calf Raise,"Lever de mollet, exercice du chameau"
CALF_RAISE_SEATED_CALF_RAISE,CALF_RAISE,SEATED_CALF_RAISE,Seated Calf Raise,Exercice de mollet assis
CALF_RAISE_SEATED_DUMBBELL_TOE_RAISE,CALF_RAISE,SEATED_DUMBBELL_TOE_RAISE,Seated Dumbbell Toe Raise,Elévation des orteils assis avec haltères
CALF_RAISE_SINGLE_LEG_BENT_KNEE_CALF_RAISE,CALF_RAISE,SINGLE_LEG_BENT_KNEE_CALF_RAISE,Single-leg Bent-knee Calf Raise,"Lever de mollet sur une jambe, genou fléchi"
CALF_RAISE_SINGLE_LEG_DECLINE_PUSH_UP,CALF_RAISE,SINGLE_LEG_DECLINE_PUSH_UP,Single-leg Decline Push-up,Pompe sur une jambe avec pieds surélevés
CALF_RAISE_SINGLE_LEG_DONKEY_CALF_RAISE,CALF_RAISE,SINGLE_LEG_DONKEY_CALF_RAISE,Single-leg Donkey Calf Raise,"Lever de mollet sur une jambe, exercice du chameau"
CALF_RAISE_SINGLE_LEG_HIP_RAISE_WITH_KNEE_HOLD,CALF_RAISE,SINGLE_LEG_HIP_RAISE_WITH_KNEE_HOLD,Single-leg Hip Raise with Knee Hold,Extension des hanches sur une jambe avec main sur genou
CALF_RAISE_SINGLE_LEG_STANDING_CALF_RAISE,CALF_RAISE,SINGLE_LEG_STANDING_CALF_RAISE,Single-leg Standing Calf Raise,Extension des mollets sur une jambe
CALF_RAISE_SINGLE_LEG_STANDING_DUMBBELL_CALF_RAISE,CALF_RAISE,SINGLE_LEG_STANDING_DUMBBELL_CALF_RAISE,Single-leg Standing Dumbbell Calf Raise,Lever de mollet debout sur une jambe avec haltère
